"","Sample_ID","Sample_date","Sample_site","Calanoida_Nauplii","Calanoida","Cladocera","Cyclopoida_Nauplii","Cyclopoida","Leptodora","Rotifers","Veligers","TempC"
"1","19950517-3-996",1995-05-17,"3-996",1.86568622354548,21.2734820175414,1.84894581784568,0.990723198669156,23.4933591035302,0.294398467824884,0.147859582397255,0.106390260448315,14.1
"2","19950517-3-996B",1995-05-17,"3-996",2.15486100572934,33.1672072914479,3.45366808003854,2.0062376352363,28.4525897530329,0,0.692969129707804,0.213209513882308,14.1
"3","19950517-8-994",1995-05-17,"8-994",1.47301792584822,24.7465866119334,3.85618699201077,2.44248710778052,49.6364987174124,0,0.434189096362054,0.0217328234454634,13.5
"4","19950517-8-994B",1995-05-17,"8-994",0.84802506045747,22.2960484410772,1.43355231210898,1.62831610787764,35.2234262147738,0,0.127992650091985,0,13.5
"5","19950522-27-918",1995-05-22,"27-918",0.151994821049839,2.16287644202286,0.689019350781374,0.219334315565999,1.25545031367509,0.355348320068622,0.238987915633868,0,14.8
"6","19950522-29-905",1995-05-22,"29-905",0.229897768838281,2.35388845597409,0.262752015569882,0.20103512029025,0.377469131079025,0.55371455190668,0.0304003965332497,0,14.9
"7","19950523-36-873",1995-05-23,"36-873",0.312636883924198,4.16289384837592,0.748317654096745,0.377242172162289,7.85467561524507,0,0.390348058911535,0.104529725175876,15.6
"8","19950523-37-890",1995-05-23,"37-890",0.353874437115497,6.68179212896155,0.775172094848993,0.387408433503414,15.0603983356027,0,0.484034542682234,0.371897889676117,16.2
"9","19950601-14-972",1995-06-01,"14-972",1.03514332173291,90.7071738167753,70.1528375440792,1.89269055040204,74.8936939007939,0,0.158619638347225,0.287369344797894,17.6
"10","19950601-16-970",1995-06-01,"16-970",0.558863097173711,94.986043389489,53.8343319430787,1.17419472969093,58.2012097464074,0.377186356656876,0.0363613124450448,0.122967347541424,17.5
"11","19950601-27-918",1995-06-01,"27-918",0.0824227083459471,1.2230908123463,0.0622719142868695,0.0772595313112577,0.883495306802006,0.0389236058808665,0.0103024942880908,0.00856786379860387,17
"12","19950601-29-905",1995-06-01,"29-905",0.0967958265533233,2.60377281884303,0.24256557647138,0.0618902002278372,1.26390326445468,0.00188866484629441,0.0123224558788827,0.0197951756013409,17
"13","19950601-36-873",1995-06-01,"36-873",1.60167304645889,24.3009785471709,12.3208266721541,1.51528788955313,20.7953462170279,0.245174753844357,0.34036588535192,2.28751056665413,18
"14","19950601-37-890",1995-06-01,"37-890",1.02616839616693,23.1886388379392,3.58252445577813,0.494123998897221,11.845745795916,0,0.0500640833115172,0.277262711061358,17.8
"15","19950601-8-994",1995-06-01,"8-994",0.805909827749795,228.853873012041,94.7474463106824,2.67476842929645,171.658073411031,0,0.241162432154796,2.99041415871947,17.7
"16","19950606-14-972",1995-06-06,"14-972",0.450430324595294,92.0509927246625,57.8478062512412,2.45867636629886,49.6253475282118,0.928507887776713,0.172543884674809,0.0353448926756768,18.5
"17","19950606-16-970",1995-06-06,"16-970",0.759343383265025,49.8646433926791,70.5677166041433,4.00174007408916,66.5458073311861,0,0.1737715235717,0.441895554082721,18
"18","19950606-8-994",1995-06-06,"8-994",0.763778362309102,59.5570409309368,31.9498172926261,1.90117071017504,37.6170361267327,0,0.131129206808794,0.370669186419996,18
"19","19950607-27-918",1995-06-07,"27-918",0.0225787768140993,0.981616285714,0.318191432649386,0.0471651277175888,1.2158277332588,0,0.0908579104910229,0.0304936328966623,19.3
"20","19950607-29-905",1995-06-07,"29-905",0.0115525525378383,0.159453378581276,0.0292519829647728,0.0134688813330342,0.0573480810764449,0.0101622486855973,0.0110023424550542,0.00791082576942137,19.4
"21","19950607-36-873",1995-06-07,"36-873",0.883134664391764,38.8048220369314,21.2787020062424,1.36488260090781,45.2198590744892,0,0.31846263586838,3.24122062228692,20.8
"22","19950607-37-890",1995-06-07,"37-890",0.649647621993096,49.9956547058119,21.8409390608716,1.80643888827013,39.3579792120051,0,0.323916335217068,1.29980234618516,20.3
"23","19950614-14-972",1995-06-14,"14-972",0.817618082878382,58.3604080799993,61.2705343370517,1.63533334029037,70.0115729555756,3.85252072418126,0.0610951238610123,0.22547009996326,20.2
"24","19950614-16-970",1995-06-14,"16-970",0.958957990490189,40.9546826540482,49.5396599156717,0.790544850712883,56.4954152404675,0.454544229989604,0.237347043194221,0.689789844283204,19.7
"25","19950614-8-994",1995-06-14,"8-994",1.36472676068856,71.1627144545093,38.1147047379092,1.82318465988592,92.9359870158579,0.458172288822521,0.68108594712404,0.807194064769946,18.9
"26","19950615-27-918",1995-06-15,"27-918",0.00750958568134309,0.526598463694825,0.727314481155784,0.105426515438465,1.65509149728088,0.125896383970565,0.0250311438893761,0.125895141530506,18.5
"27","19950615-29-905",1995-06-15,"29-905",0.0285332246506245,0.695410223334294,0.453911264788179,0.0441243833234592,1.04577311924086,0.652102830719126,0.0250021115708097,0.0821738478859176,18.1
"28","19950615-36-873",1995-06-15,"36-873",2.87634098822367,36.0631259795061,120.545486395676,0.391203840581656,168.602981784312,0,1.08271414317646,6.47989699054074,20.5
"29","19950615-37-890",1995-06-15,"37-890",0.509789877357017,10.7510655370864,184.895745517777,0.659149485345083,73.1582791683427,0,0.129396118769953,1.76253198142708,21
"30","19950619-27-918",1995-06-19,"27-918",0.0627352685547305,2.31519264310254,4.12511796583124,0.105145867544266,2.66025757389332,1.8307751283344,0.00602514292934079,0.284575476167914,21.7
"31","19950619-29-905",1995-06-19,"29-905",0.0355303434847582,1.23008700555431,0.544475464744256,0.0644252725445457,1.91204376557853,0.670537781910417,0.0119506900115274,0.10643126740095,22
"32","19950619-36-873",1995-06-19,"36-873",0.649665720022786,41.969186784531,86.369818062563,1.38354250487945,77.2532019143095,0.968661061348692,0.18311069361873,9.83054728332189,26.2
"33","19950619-37-890",1995-06-19,"37-890",0.425542629521359,8.5276813224392,20.301475272882,1.92632075068948,67.0515284720478,1.15546597581351,0.22377674926423,3.1006642000324,24.7
"34","19950620-14-972",1995-06-20,"14-972",1.55387309869545,21.7050079604948,27.8813139667236,4.87664711720234,183.551255733869,0.520697390043255,0.125345615202096,0.523524350918935,23.6
"35","19950620-14-972B",1995-06-20,"14-972",1.33168844733373,15.8387861929696,21.9522257904954,2.57593779740484,200.723626305764,0,0.0641987280857744,0.286125321660241,23.6
"36","19950620-3-996",1995-06-20,"3-996",5.79788015130907,54.4648555606536,168.563636671257,17.536116947838,656.908891520892,1.07934322316392,2.10827713907407,3.50124596310515,23.8
