Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200714-8-994,20200714-8-994,B_longirostris_w_eggs,1,18,,,,,,,,,,,,,,,,,,,
Sample_date,20200714,20200714-8-994,B_longirostris_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_site,8-994,20200714-8-994,D_mendotae_w_eggs,13,145,153,146,143,136,131,146,155,147,142,146,128,141,,,,,,,
Sample_time,,20200714-8-994,D_mendotae_wo_eggs,108,37,40,136,40,38,34,38,36,38,36,37,35,36,40,37,37,42,35,42,46
Project,LEPAS,20200714-8-994,D_retrocurva_w_eggs,,,,,,,,,,,,,,,,,,,,,
Water_body,Western Erie,20200714-8-994,D_retrocurva_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Counter_name,CMD,20200714-8-994,Diaphanosoma_w_eggs,,,,,,,,,,,,,,,,,,,,,
Date_counted,20201214,20200714-8-994,Diaphanosoma_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Microscope_number,117546,20200714-8-994,B_coregoni_w_eggs,,,,,,,,,,,,,,,,,,,,,
mm_per_ocular_unit,0.0185,20200714-8-994,B_coregoni_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Subsampled_vol_mL,25,20200714-8-994,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,3000,20200714-8-994,L_kindti_wo_eggs,1,75,,,,,,,,,,,,,,,,,,,
Meter_1,84364,20200714-8-994,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,84607,20200714-8-994,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,243,20200714-8-994,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,13.2,20200714-8-994,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,24.4,20200714-8-994,B_longirostris_eggs,2,2,,,,,,,,,,,,,,,,,,,
Bottom_temp,22.3,20200714-8-994,D_mendotae_eggs,85,4,10,7,7,2,7,6,7,12,4,4,6,9,,,,,,,
Ave_temp,23.35,20200714-8-994,D_retrocurva_eggs,,,,,,,,,,,,,,,,,,,,,
Secchi_depth_m,4.9,20200714-8-994,Diaphanosoma_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_DO,7.9,20200714-8-994,B_coregoni_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_DO,6.16,20200714-8-994,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200714-8-994,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200714-8-994,Loose_Cladoceran_eggs,,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200714-8-994,Loose_Daphnia_eggs,13,,,,,,,,,,,,,,,,,,,,
Comments,Lots of filamentous algae,20200714-8-994,D_parvula_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,D_pulex_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,A_vernalis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,A_vernalis_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,D_thomasi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,D_thomasi_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,E_lacustris,1,86,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,E_carolleeae_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,E_carolleeae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_ashlandi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_ashlandi_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_minutus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_minutus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_sicilis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_sicilis_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_siciloides_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_siciloides_wo_eggs,2,44,46,,,,,,,,,,,,,,,,,,
,,20200714-8-994,M_edax_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,M_edax_wo_eggs,2,35,35,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_oregonensis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_oregonensis_wo_eggs,1,53,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Diaptomidae_immature,51,37,21,20,30,20,23,18,22,32,22,20,25,25,25,25,22,21,21,19,30
,,20200714-8-994,Temoridae_immature,4,25,23,31,24,,,,,,,,,,,,,,,,
,,20200714-8-994,Cyclopidae_immature,52,24,20,28,21,20,17,17,15,20,28,18,22,21,17,20,24,18,24,17,31
,,20200714-8-994,Calanoid_nauplii,253,12,10,10,15,10,12,8,8,15,14,12,10,10,14,14,15,10,7,12,11
,,20200714-8-994,Cyclopoid_nauplii,9,10,8,7,8,7,8,8,7,10,,,,,,,,,,,
,,20200714-8-994,T_prasinus_mexicanus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,T_prasinus_mexicanus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_reighardi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_reighardi_wo_eggs,1,48,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_pallidus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_pallidus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,A_vernalis_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,D_thomasi_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,E_carolleeae_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_ashlandi_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_minutus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_sicilis_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,L_siciloides_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,M_edax_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_oregonensis_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Loose_Copepod_eggs,1,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,T_prasinus_mexicanus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_reighardi_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,S_pallidus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Asplanchna,260,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Brachionus,28,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Dreissena_veligers,1450,6,6,7,7,6,12,9,6,7,6,7,6,6,7,7,6,7,8,9,11
,,20200714-8-994,Kellicottia,1,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Keratella,30,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Ploesoma_sp,14,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Polyarthra,6125,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Unidentified_Rotifers,9625,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Canthocamptus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Canthocamptus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Canthocamptus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Canthocamptus_nauplii,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Harpacticoid_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,A_harpae_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,A_harpae_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,A_harpae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-8-994,Alona_eggs,,,,,,,,,,,,,,,,,,,,,
