Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200618-16-970,20200618-16-970,B_longirostris_w_eggs,1,25,,,,,,,,,,,,,,,,,,,
Sample_date,20200618,20200618-16-970,B_longirostris_wo_eggs,3,15,15,18,,,,,,,,,,,,,,,,,
Sample_site,16-970,20200618-16-970,D_mendotae_w_eggs,11,115,130,115,110,105,104,110,100,95,110,116,,,,,,,,,
Sample_time,,20200618-16-970,D_mendotae_wo_eggs,65,76,42,52,42,45,62,117,44,50,100,42,53,57,53,58,87,45,102,45,77
Project,LEPAS,20200618-16-970,D_retrocurva_w_eggs,6,102,95,95,73,92,94,,,,,,,,,,,,,,
Water_body,Western Erie,20200618-16-970,D_retrocurva_wo_eggs,102,40,73,45,48,57,43,43,38,44,36,39,47,46,40,40,73,51,36,35,56
Counter_name,CMD,20200618-16-970,Diaphanosoma_w_eggs,1,59,,,,,,,,,,,,,,,,,,,
Date_counted,20210208,20200618-16-970,Diaphanosoma_wo_eggs,6,28,24,51,31,32,26,,,,,,,,,,,,,,
Microscope_number,117546,20200618-16-970,B_coregoni_w_eggs,,,,,,,,,,,,,,,,,,,,,
mm_per_ocular_unit,0.0185,20200618-16-970,B_coregoni_wo_eggs,28,24,19,17,19,18,18,20,22,19,19,20,20,21,22,22,20,19,20,26,25
Subsampled_vol_mL,8,20200618-16-970,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,2000,20200618-16-970,L_kindti_wo_eggs,5,114,108,125,466,257,,,,,,,,,,,,,,,
Meter_1,79092,20200618-16-970,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,79392,20200618-16-970,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,300,20200618-16-970,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,9.8,20200618-16-970,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,19.1,20200618-16-970,B_longirostris_eggs,2,2,,,,,,,,,,,,,,,,,,,
Bottom_temp,19.6,20200618-16-970,D_mendotae_eggs,36,2,3,1,2,4,6,3,2,4,6,3,,,,,,,,,
Ave_temp,19.35,20200618-16-970,D_retrocurva_eggs,16,6,2,2,1,3,2,,,,,,,,,,,,,,
Secchi_depth_m,2.1,20200618-16-970,Diaphanosoma_eggs,1,1,,,,,,,,,,,,,,,,,,,
Surface_DO,9.2,20200618-16-970,B_coregoni_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_DO,8.49,20200618-16-970,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200618-16-970,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200618-16-970,Loose_Cladoceran_eggs,3,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200618-16-970,Loose_Daphnia_eggs,8,,,,,,,,,,,,,,,,,,,,
Comments,Lots of leptodora,20200618-16-970,D_parvula_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,D_pulex_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,A_vernalis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,A_vernalis_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,D_thomasi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,D_thomasi_wo_eggs,8,47,50,39,40,40,48,39,38,,,,,,,,,,,,
,,20200618-16-970,E_lacustris,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,E_carolleeae_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,E_carolleeae_wo_eggs,7,46,46,45,45,46,48,49,,,,,,,,,,,,,
,,20200618-16-970,L_ashlandi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_ashlandi_wo_eggs,2,51,46,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_minutus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_minutus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_sicilis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_sicilis_wo_eggs,4,73,55,60,57,,,,,,,,,,,,,,,,
,,20200618-16-970,L_siciloides_w_eggs,2,51,60,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_siciloides_wo_eggs,3,52,61,48,,,,,,,,,,,,,,,,,
,,20200618-16-970,M_edax_w_eggs,1,66,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,M_edax_wo_eggs,25,43,65,42,50,49,63,38,40,44,42,38,43,39,29,60,45,63,41,57,45
,,20200618-16-970,S_oregonensis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_oregonensis_wo_eggs,1,56,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Diaptomidae_immature,15,25,30,29,23,42,19,23,22,28,38,45,27,28,21,43,,,,,
,,20200618-16-970,Temoridae_immature,37,24,20,20,35,38,19,40,36,34,26,29,23,35,31,30,18,23,38,37,24
,,20200618-16-970,Cyclopidae_immature,82,30,31,17,19,24,22,15,21,31,17,21,18,29,30,33,16,18,16,31,18
,,20200618-16-970,Calanoid_nauplii,270,7,14,13,9,6,6,8,10,9,14,13,6,9,9,15,10,7,10,11,10
,,20200618-16-970,Cyclopoid_nauplii,28,6,6,10,9,7,8,8,8,10,10,8,11,9,9,7,8,9,8,6,8
,,20200618-16-970,T_prasinus_mexicanus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,T_prasinus_mexicanus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_reighardi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_reighardi_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_pallidus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_pallidus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,A_vernalis_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,D_thomasi_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,E_carolleeae_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_ashlandi_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_minutus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_sicilis_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,L_siciloides_eggs,22,6,16,,,,,,,,,,,,,,,,,,
,,20200618-16-970,M_edax_eggs,24,24,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_oregonensis_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Loose_Copepod_eggs,130,13,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,11,1,1,1
,,20200618-16-970,T_prasinus_mexicanus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_reighardi_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,S_pallidus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Asplanchna,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Brachionus,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Dreissena_veligers,382,7,6,6,6,6,8,7,6,7,6,6,6,6,6,6,7,6,8.5,6,6
,,20200618-16-970,Kellicottia,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Keratella,15,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Ploesoma_sp,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Polyarthra,27,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Unidentified_Rotifers,8,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Canthocamptus_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Canthocamptus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Canthocamptus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Canthocamptus_nauplii,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Harpacticoid_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,A_harpae_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,A_harpae_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,A_harpae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Alona_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200618-16-970,Alona_w_eggs,,,,,,,,,,,,,,,,,,,,,
