Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200714-36-873,20200714-36-873,B_longirostris_w_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_date,20200714,20200714-36-873,B_longirostris_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_site,36-873,20200714-36-873,D_mendotae_w_eggs,29,103,120,91,98,90,120,82,113,99,118,99,112,92,102,80,102,92,88,75,123
Sample_time,,20200714-36-873,D_mendotae_wo_eggs,88,45,55,46,83,72,47,82,64,70,47,91,95,57,40,46,48,46,45,40,65
Project,LEPAS,20200714-36-873,D_retrocurva_w_eggs,1,96,,,,,,,,,,,,,,,,,,,
Water_body,Western Erie,20200714-36-873,D_retrocurva_wo_eggs,12,51,50,52,37,41,32,26,32,80,44,36,42,,,,,,,,
Counter_name,CMD,20200714-36-873,Diaphanosoma_w_eggs,,,,,,,,,,,,,,,,,,,,,
Date_counted,20210223,20200714-36-873,Diaphanosoma_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Microscope_number,117546,20200714-36-873,B_coregoni_w_eggs,,,,,,,,,,,,,,,,,,,,,
mm_per_ocular_unit,0.0185,20200714-36-873,B_coregoni_wo_eggs,2,32,18,,,,,,,,,,,,,,,,,,
Subsampled_vol_mL,9,20200714-36-873,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,3000,20200714-36-873,L_kindti_wo_eggs,1,100,,,,,,,,,,,,,,,,,,,
Meter_1,85897,20200714-36-873,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,86184,20200714-36-873,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,287,20200714-36-873,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,7.1,20200714-36-873,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,26.9,20200714-36-873,B_longirostris_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_temp,25.4,20200714-36-873,D_mendotae_eggs,121,2,11,3,2,4,10,1,8,3,2,3,8,6,2,2,6,3,3,2,2
Ave_temp,26.15,20200714-36-873,D_retrocurva_eggs,8,8,,,,,,,,,,,,,,,,,,,
Secchi_depth_m,2.4,20200714-36-873,Diaphanosoma_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_DO,8.48,20200714-36-873,B_coregoni_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_DO,7.14,20200714-36-873,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200714-36-873,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200714-36-873,Loose_Cladoceran_eggs,2,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200714-36-873,Loose_Daphnia_eggs,23,,,,,,,,,,,,,,,,,,,,
Comments,Lots of microcystis,20200714-36-873,D_parvula_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,D_pulex_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,A_vernalis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,A_vernalis_wo_eggs,1,42,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,D_thomasi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,D_thomasi_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,E_lacustris,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,E_carolleeae_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,E_carolleeae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_ashlandi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_ashlandi_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_minutus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_minutus_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_sicilis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_sicilis_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_siciloides_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200714-36-873,L_siciloides_wo_eggs,6,43,54,44,45,51,48,,,,,,,,,,,,,,
