Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200618-36-873,20200618-36-873,B_longirostris_w_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_date,20200618,20200618-36-873,B_longirostris_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_site,36-873,20200618-36-873,D_mendotae_w_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_time,,20200618-36-873,D_mendotae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Project,LEPAS,20200618-36-873,D_retrocurva_w_eggs,13,86,103,112,98,86,95,97,110,93,94,105,95,100,,,,,,,
Water_body,Western Erie,20200618-36-873,D_retrocurva_wo_eggs,93,84,40,100,96,40,97,32,122,83,50,108,51,82,68,102,63,67,81,37,70
Counter_name,CMD,20200618-36-873,Diaphanosoma_w_eggs,,,,,,,,,,,,,,,,,,,,,
Date_counted,20210115,20200618-36-873,Diaphanosoma_wo_eggs,11,49,55,56,50,55,37,27,40,30,42,52,,,,,,,,,
Microscope_number,117546,20200618-36-873,B_coregoni_w_eggs,2,23,23,,,,,,,,,,,,,,,,,,
mm_per_ocular_unit,0.0185,20200618-36-873,B_coregoni_wo_eggs,3,18,18,18,,,,,,,,,,,,,,,,,
Subsampled_vol_mL,25,20200618-36-873,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,1000,20200618-36-873,L_kindti_wo_eggs,8,102,380,358,377,320,344,375,355,,,,,,,,,,,,
Meter_1,80064,20200618-36-873,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,80381,20200618-36-873,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,317,20200618-36-873,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,7,20200618-36-873,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,21.4,20200618-36-873,B_longirostris_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_temp,19.9,20200618-36-873,D_mendotae_eggs,,,,,,,,,,,,,,,,,,,,,
Ave_temp,20.65,20200618-36-873,D_retrocurva_eggs,25,1,2,1,1,1,3,1,2,2,2,3,2,4,,,,,,,
Secchi_depth_m,0.3,20200618-36-873,Diaphanosoma_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_DO,8.72,20200618-36-873,B_coregoni_eggs,2,1,1,,,,,,,,,,,,,,,,,,
Bottom_DO,6.4,20200618-36-873,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200618-36-873,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200618-36-873,Loose_Cladoceran_eggs,11,,,,,,,,,,,,,,,,,,,,
