Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200715-1280_15m,20200715-1280_15m,B_longirostris_w_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_date,20200715,20200715-1280_15m,B_longirostris_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_site,1280_15m,20200715-1280_15m,D_mendotae_w_eggs,22,153,145,148,138,146,148,141,146,138,145,149,140,146,143,42,134,146,147,151,143
Sample_time,9:47,20200715-1280_15m,D_mendotae_wo_eggs,27,47,35,140,38,40,46,81,40,46,38,38,53,41,45,43,38,43,148,40,58
Project,LEPAS,20200715-1280_15m,D_retrocurva_w_eggs,,,,,,,,,,,,,,,,,,,,,
Water_body,Central Basin,20200715-1280_15m,D_retrocurva_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Counter_name,CMD,20200715-1280_15m,Diaphanosoma_w_eggs,,,,,,,,,,,,,,,,,,,,,
Date_counted,20201028,20200715-1280_15m,Diaphanosoma_wo_eggs,1,33,,,,,,,,,,,,,,,,,,,
Microscope_number,117546,20200715-1280_15m,B_coregoni_w_eggs,,,,,,,,,,,,,,,,,,,,,
mm_per_ocular_unit,0.0185,20200715-1280_15m,B_coregoni_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Subsampled_vol_mL,9,20200715-1280_15m,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,1500,20200715-1280_15m,L_kindti_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_1,557067,20200715-1280_15m,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,557792,20200715-1280_15m,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,725,20200715-1280_15m,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,15,20200715-1280_15m,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,25.1,20200715-1280_15m,B_longirostris_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_temp,20.17,20200715-1280_15m,D_mendotae_eggs,202,9,5,8,7,9,9,13,7,10,12,6,3,6,6,5,18,15,16,12,14
Ave_temp,22.635,20200715-1280_15m,D_retrocurva_eggs,,,,,,,,,,,,,,,,,,,,,
Secchi_depth_m,2.5,20200715-1280_15m,Diaphanosoma_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_DO,8.74,20200715-1280_15m,B_coregoni_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_DO,4.69,20200715-1280_15m,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200715-1280_15m,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200715-1280_15m,Loose_Cladoceran_eggs,,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200715-1280_15m,Loose_Daphnia_eggs,25,,,,,,,,,,,,,,,,,,,,
Comments,Lots of algae and veligers.  Bythotrephes present.,20200715-1280_15m,D_parvula_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,D_pulex_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,A_vernalis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,A_vernalis_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,D_thomasi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,D_thomasi_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,E_lacustris,3,80,74,76,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,E_carolleeae_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,E_carolleeae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_ashlandi_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_ashlandi_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_minutus_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_minutus_wo_eggs,2,41,40,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_sicilis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_sicilis_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_siciloides_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,L_siciloides_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,M_edax_w_eggs,1,35,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,M_edax_wo_eggs,1,58,,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,S_oregonensis_w_eggs,11,59,60,559,59,50,60,60,57,52,55,58,,,,,,,,,
,,20200715-1280_15m,S_oregonensis_wo_eggs,187,19,25,24,41,45,24,19,20,21,21,31,36,25,36,36,30,25,20,26,24
,,20200715-1280_15m,Diaptomidae_immature,4,29,21,23,22,,,,,,,,,,,,,,,,
,,20200715-1280_15m,Temoridae_immature,2,19,16,,,,,,,,,,,,,,,,,,
,,20200715-1280_15m,Cyclopidae_immature,744,10,9,14,8,14,15,8,7,11,15,12,10,8,8,7,13,10,8,10,10
,,20200715-1280_15m,Calanoid_nauplii,,,,,,,,,,,,,,,,,,,,,
