Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200715-1320_10m,20200715-1320_10m,B_longirostris_w_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_date,20200715,20200715-1320_10m,B_longirostris_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_site,1320_10m,20200715-1320_10m,D_mendotae_w_eggs,11,136,140,151,142,140,134,156,147,149,150,137,,,,,,,,,
Sample_time,11:36,20200715-1320_10m,D_mendotae_wo_eggs,26,118,38,38,37,40,36,53,138,114,31,38,37,52,50,53,38,38,38,35,37
Project,LEPAS,20200715-1320_10m,D_retrocurva_w_eggs,,,,,,,,,,,,,,,,,,,,,
Water_body,Central Basin,20200715-1320_10m,D_retrocurva_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Counter_name,CMD,20200715-1320_10m,Diaphanosoma_w_eggs,,,,,,,,,,,,,,,,,,,,,
Date_counted,20210426,20200715-1320_10m,Diaphanosoma_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Microscope_number,117546,20200715-1320_10m,B_coregoni_w_eggs,,,,,,,,,,,,,,,,,,,,,
mm_per_ocular_unit,0.0185,20200715-1320_10m,B_coregoni_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Subsampled_vol_mL,11,20200715-1320_10m,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,2000,20200715-1320_10m,L_kindti_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_1,560330,20200715-1320_10m,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,560809,20200715-1320_10m,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,479,20200715-1320_10m,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,10,20200715-1320_10m,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,25.44,20200715-1320_10m,B_longirostris_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_temp,22.89,20200715-1320_10m,D_mendotae_eggs,49,4,12,1,2,5,4,6,7,1,10,1,,,,,,,,,
Ave_temp,24.165,20200715-1320_10m,D_retrocurva_eggs,,,,,,,,,,,,,,,,,,,,,
Secchi_depth_m,2.1,20200715-1320_10m,Diaphanosoma_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_DO,8.28,20200715-1320_10m,B_coregoni_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_DO,6.9,20200715-1320_10m,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200715-1320_10m,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200715-1320_10m,Loose_Cladoceran_eggs,,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200715-1320_10m,Loose_Daphnia_eggs,1,,,,,,,,,,,,,,,,,,,,
Comments,"Lots of anabaena, kind of clumpy",20200715-1320_10m,D_parvula_eggs,,,,,,,,,,,,,,,,,,,,,
