Information,Value,Sample_ID,Genus_sp_lifestage,Number_counted,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20
Sample_ID,20200812-1319_15m,20200812-1319_15m,B_longirostris_w_eggs,1,19.5,,,,,,,,,,,,,,,,,,,
Sample_date,20200812,20200812-1319_15m,B_longirostris_wo_eggs,1,10,,,,,,,,,,,,,,,,,,,
Sample_site,1319_15m,20200812-1319_15m,D_mendotae_w_eggs,,,,,,,,,,,,,,,,,,,,,
Sample_time,13:15,20200812-1319_15m,D_mendotae_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Project,LEPAS,20200812-1319_15m,D_retrocurva_w_eggs,,,,,,,,,,,,,,,,,,,,,
Water_body,Central Basin,20200812-1319_15m,D_retrocurva_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Counter_name,CMD,20200812-1319_15m,Diaphanosoma_w_eggs,1,48,,,,,,,,,,,,,,,,,,,
Date_counted,20210322,20200812-1319_15m,Diaphanosoma_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Microscope_number,117546,20200812-1319_15m,B_coregoni_w_eggs,,,,,,,,,,,,,,,,,,,,,
mm_per_ocular_unit,0.0185,20200812-1319_15m,B_coregoni_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Subsampled_vol_mL,8,20200812-1319_15m,L_kindti_w_eggs,,,,,,,,,,,,,,,,,,,,,
Diluted_vol_mL,2000,20200812-1319_15m,L_kindti_wo_eggs,7,112,107,109,138,80,117,105,,,,,,,,,,,,,
Meter_1,562076,20200812-1319_15m,D_pulex_w_eggs,,,,,,,,,,,,,,,,,,,,,
Meter_2,562833,20200812-1319_15m,D_pulex_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Revolutions,757,20200812-1319_15m,D_parvula_w_eggs,,,,,,,,,,,,,,,,,,,,,
Depth_m,15,20200812-1319_15m,D_parvula_wo_eggs,,,,,,,,,,,,,,,,,,,,,
Surface_temp,25.06,20200812-1319_15m,B_longirostris_eggs,4,4,,,,,,,,,,,,,,,,,,,
Bottom_temp,13.78,20200812-1319_15m,D_mendotae_eggs,,,,,,,,,,,,,,,,,,,,,
Ave_temp,19.42,20200812-1319_15m,D_retrocurva_eggs,,,,,,,,,,,,,,,,,,,,,
Secchi_depth_m,3.2,20200812-1319_15m,Diaphanosoma_eggs,4,4,,,,,,,,,,,,,,,,,,,
Surface_DO,9.42,20200812-1319_15m,B_coregoni_eggs,,,,,,,,,,,,,,,,,,,,,
Bottom_DO,0.39,20200812-1319_15m,L_kindti_eggs,,,,,,,,,,,,,,,,,,,,,
Latitude,,20200812-1319_15m,Loose_Bosmina_eggs,,,,,,,,,,,,,,,,,,,,,
Longitude,,20200812-1319_15m,Loose_Cladoceran_eggs,1,,,,,,,,,,,,,,,,,,,,
Net_diameter_m,0.5,20200812-1319_15m,Loose_Daphnia_eggs,,,,,,,,,,,,,,,,,,,,,
Comments,"Lots of diatoms, fragilaria and aphanizomenon",20200812-1319_15m,D_parvula_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200812-1319_15m,D_pulex_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200812-1319_15m,A_vernalis_w_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200812-1319_15m,A_vernalis_wo_eggs,,,,,,,,,,,,,,,,,,,,,
,,20200812-1319_15m,D_thomasi_w_eggs,,,,,,,,,,,,,,,,,,,,,
